! ! ! ! ! ! ! ! ! ! ! ! ! ! !	zho,7
! ! ! ! ! ! ! ! ! ! ! ! ! !	zho,8
! ! ! ! ! ! ! ! ! ! ! ! !	zho,30
! ! ! ! ! ! ! ! ! ! ! !	zho,7
! ! ! ! ! ! ! ! ! ! !	zho,5
! 0lm	deu,252
! aağa !	tur,31
! ari-ari-ari !	jpn,7
! biswas amitava !	eng,11
! danskammelsrod !	spa,9
! kaiser	sqi,5
!! db	eng,6
!!!!! lesen !!!!!!	deu,5
!!!!!!!!!!!!!!!!!!!cammellobello	ita,10
!!!!!adeen!!!!!	fin,365
!!!!akamcia	pol,111
!!!alert!!!	ces,13
!!!desperados!!!	deu,5
!!!dr.gaio!!!	ita,10
!!!lolersk8!!!	eng,7
!!!whus!!!	ita,60
!!!	jpn,82
!!!להלהלה!!!	heb,6
!!2011worldprotests!!	eng,49
!!8uyvasdaw	eng,8
!!archie!!	eng,89
!!gnikmra	eng,10
!!house down!!	eng,70
!!lokastory	fra,9
!!mese!!	fin,9
!!onpu	jpn,11
!!sgott	eng,28
!!suzzy!!	tur,602
!!viewcountfun1	eng,145
!!wawawiwa!!	eng,37
!!weed!!	jpn,12
!!wrewe	jpn,5
!!yeahman!!	deu,6
!!	jpn,3	eng,1448
!&quot;£$	eng,8
!*!jodie-2007!*!	eng,5
!-!z3ta!-!	spa,11
!---slappdash---!	eng,128
!--mk--!	fra,8
!-artmaster	rus,2	ukr,216
!.!.1	heb,14
!157	jpn,6
!1bhansen	eng,15
!1qqaazz	eng,6
!51hans	deu,98
!? $prain me!	eng,6
!abacus	ita,6
!achtung!	hbs,42
!adrianzen25	spa,7
!alfredo	fra,7
!arrizog	eng,23
!astep	ita,18
!aunbos	eng,7
!bamitsolly!	eng,5
!barmaid	fra,13
!bfvinfo	deu,15
!blardi	eng,5
!bob+2!07	eng,7
!c to the m!	eng,9
!computeralert!	eng,151
!culturauniversal™	spa,12
!darkfire!6'28'14	eng,364
!do'worix	rus,7
!dragon	eng,28
!eddo0!	spa,8
!eebdfg	jpn,7
!exp	ita,22
!fedk	por,6
!flame! br	rus,5
!frbzh	fra,5
!gangsta g home dogg	eng,12
!general4death!	deu,8
!hazel!	eng,10
!hoax	fin,7
!ilgotah	jpn,6
!jamieimaj!	eng,26
!jim	eng,208
!jrb	eng,9
!k!r!u!x!	deu,80
!lee!	lav,11	eng,3
!llu$ion^	por,12	eng,18
!mcbloobyenstein!!	eng,19
!melquiades	eng,168
!mm0	rus,41
!mnc99	eng,71
!monkey!	eng,5
!musiclova!	eng,9
!my password is vand!	jpn,8
!ndream	eng,8
!normsl1ku	fra,38
!notrub!	eng,34
!paradigm!	eng,256
!penz¡	ita,150
!php!	msa,74
!powa	ita,10
!pso	fra,87
!qwerty789	jpn,6
!rick	deu,33
!ronstone	eng,71
!r¡€	spa,187
!saturdaynightwrist	eng,8
!sayhello	hun,60
!seakingdood	eng,7
!seakingman	eng,18
!sergejmaksimovfromlatvia	eng,5
!sethgash!	eng,7
!silent old	fra,8
!silent	fra,10	ita,14	por,23932	deu,9	eng,85
!sln-btsts!	tur,28
!spencer!new	eng,5
!spoodem	eng,9
!tch!	rus,7
!the!bear!max!	eng,7
!vezzo! ll10	ita,4	eng,6
!wake up aryans	fas,24
!waraz!	fin,8
!ww	jpn,6
!x0bile	eng,9
!xo derek	eng,22
!xoshizzle	eng,25
!xxnemethxx!	eng,5
!yantit!	deu,15
!yesmelissa!	eng,5
!zero!	deu,5
!	slv,15	deu,7	heb,4	eng,97
!糊涂	zho,56
!センマ	jpn,8
+可愛+天使	msa,8	zho,252	eng,46
,,,	fra,13
,,me,,	fin,9
,,n	eng,457
,.hjkyhuikrtdh	eng,10
,abvjk	spa,5
,esocsorr flaoner	deu,5
,folwar'	ces,5
,j,ubho	heb,14
,k,;hk,hjjhyl;j,	eng,5
,mjkldwj	jpn,5
,thtujdcrbq	rus,15
- )	eng,1079
- - - -	fra,42
- - -	por,30	eng,62
- -rock n roll-	eng,12
- -	eng,19
- -凸	zho,7	eng,6
- 36	eng,6
- 37	eng,12
- 38	eng,10
- 40	eng,33
- 41	eng,16
- 42	eng,58
- 44	eng,7
- 45	eng,7
- 49	eng,69
- b a l l s i g n -	eng,154
- barbapapa -	fra,19
- bom -	ita,8
- carl l. thunberg, red. -	swe,108
- chocolateicecreamhotcocoa	eng,10
- damnnië	por,57
- fantomas -dm	fra,57
- filice	ita,5
- frost -	eng,6
- frédéric -	fra,56
- guipastana -	por,77
- kamino -	fra,68
- lelo -	por,33	eng,35
- m -	spa,57
- martin -	deu,15
- martin	eng,98
- masher -	pol,5
- mizzim.	jpn,10
- nugopac e6y4uu' -	ukr,7
- nutellina	ita,6
- paaah	por,7
- quentin -	fra,10
- rocknskate -	por,19
- silvia -	ita,8
- slash -	ita,12
- slc -	fra,36
- tarja	por,11
- tsr - nth man	eng,3951
- uck -	deu,5
- vioviolaine -	fra,83
- wikigirl	por,8
- zx -	por,256
-! Ü vaffanculo Ü !-	ita,27
-(@)=(@)-	jpn,5
-) 2006	eng,5
-)sa(-menthro	eng,8
-)	rus,797	heb,3	eng,2
-*-steph-*-	eng,6
-,rolle	deu,6
-- -- --	eng,1630
-- april	eng,3183
-- thilo --	deu,77
-----dash-----	nld,30
-----	jpn,8	eng,5
----	fin,31	jpn,10
---adam---	eng,5
---esh24	eng,7
---imaen---	eng,12
---moksha---	eng,12
---ncux---	rus,6
---ridge 256---	kor,11
---sol---	eng,19
---teddy---teddy---	fra,10
---	deu,12
---終了---	jpn,26
--;	eng,33
--=the doctor=--	eng,62
--=titanus=--	deu,196
--=wurdy=--	ita,7
--advisor	rus,587
--alina - oav--	rus,60
--archon--	deu,52
--bernd	deu,19
--bmcsithu--	eng,7
--bouron	rus,8
--chugun	rus,14
--colibri--	eng,96
--destroy1948--my-	deu,80
--dodo	deu,13
--dr jorgen	rus,8
--erlendc--	nor,12
--exxxxxcel	rus,37
--fmd--	spa,641
--gekkie--	nld,6
--greenday--	deu,16
--hawk--	eng,12
--hin	rus,7
--huji	rus,5
--hyphen	eng,7
--ilia yasny	rus,12
--j--	eng,13
--k--	eng,45
--last man--	deu,95
--little--sis--	est,34
--luckas--	por,23
--marcela--95	por,147
--mato	rus,18
--maxxx--	ara,33
--mrs.vince.noir	eng,6
--mx	ces,14
--nata--	deu,7
--orionus	rus,22
--phips	rus,7
--ril--	eng,5
--salsero	rus,7
--sam--	deu,5
--samepaul	rus,5
--sentinel r	rus,22
--shmexii-emo--	eng,7
--stefanosteo--	eng,27
--strattus--	eng,59
--tarik--06	tur,17
--tauraloke	rus,46
--tbas	eng,22
--tyler durden--	deu,7
--vladimir ivanov	rus,12
--voodoo3dfx--	ita,10
--w--	fin,795
--wikinoob--	nld,30
--xenadance--	eng,6
--	ita,3	jpn,12	deu,1050
--~~~~	deu,7
--Зигфрид	rus,13
-. ----. ··---	fin,22
-.-.-ends-.-.-	spa,15
-.barbie.killah.-	deu,17
-.sldhsk.-	eng,10
-.zack.-	deu,9
-0-	eng,9
-000	eng,152
-001abandon	ben,11	eng,19
-0zxyzxy-	ita,20
-11abe11-	jpn,6
-12ronald12-	spa,78	eng,11
-1348-	eng,104
-17-	deu,23
-19s.137.93.171	eng,96
-1jkr2-	eng,6
-2oc outside-alex latham	eng,86
-40c	eng,132
-5-	eng,72316
-7r33sspi73-	eng,5
-80+95	spa,35
-:ksa:-twinturboskyline	eng,14
-=(tim)=-	eng,55
-=-=dark=-=-	eng,22
-=5a5=- tom	rus,8
-=alesska=-	rus,16
-=aviator16=-	rus,6
-=bmv=-	rus,18
-=caos zeta=-	ita,116
-=cerßerus=-	nld,15	eng,3
-=chainsaw gringo=-	eng,9
-=che=-	eng,14
-=crunky=-	deu,5
-=draven=-	deu,6
-=driver=-	rus,14
-=el pingu=-	fra,985
-=eminem=-fan-=	rus,10
-=fearless1945=-	rus,647
-=gnoom=-	rus,7
-=hobbit=-lr	eng,10
-=hyperzond=-	eng,277
-=italian advisory=-	eng,5
-=mufta=-	cat,11
-=nexis=-	deu,203
-=noha-nour=-	eng,5
-=photon=-	eng,32
-=r3n3gad3=-	deu,8
-=reytbson=-	spa,24
-=ripvanw=-	deu,19
-=rizzo=-	eng,20
-=robby=-reloaded	deu,6
-=sergame=-	rus,8
-=sergio=-	deu,11
-=skynet=-	eng,24
-=starbuck=-	deu,32
-=swed=-	rus,75
-=tim=-	eng,9
-=toprider=-	deu,9
-=tropov=-	rus,7
-=twist of fate=-	rus,5
-=v!ru$=-	pol,65
-^glorfindel^-1	eng,11
-`lüis´-	deu,435
-a-d-lynch-	eng,7
-aanti-	deu,5
-abdullah-	eng,27
-abe	spa,148
-accl-	msa,17
-acl-	eng,180
-aco-	deu,5
-adjective noun adjective-	eng,5
-adrian-	spa,6
-ak-	slk,184
-aldi-	deu,19	eng,12
-ale-	eng,6
-alex-xardas-	rus,20	eng,5
-alex-	spa,55	eng,32
-alpha-	eng,6
-alx	eng,7
-al	eng,43
-amortentia-	tur,12
-amylee-	deu,15
-andrea-	ita,64
-andrÉs nieto-	spa,1087
-angela-jong-	zho,9
-ani-	deu,78
-anne-	nld,561
-anthony-	eng,1749
-antonius-	eng,24
-ark-	spa,5
-armin-	deu,31
-arondoran	nor,22
-arsenic-	eng,5
-asdf404-	fin,9
-asx-	eng,546
-av3ng3r8-	eng,6
-avp-	fra,26
-aw-	deu,24
-aware-proud-	rus,27
-axl-	tha,10
-az19	rus,12
-azj-	fin,5
-a	eng,75
-baceto-	bul,18
-backtobasics	deu,13
-bak+trak-	eng,10
-barry-	eng,1368
-bartek-	pol,8
-basilisk-	deu,134
-bast-	fra,10
-bc-kakashi	eng,15
-bc109c-	eng,30
-beautiful dirt-	deu,7
-becckyy	eng,5
-benni-	deu,230
-berqvist-	nor,13
-bhoebe	fin,8
-bilal190399-	fra,39
-bilal92-	eng,17
-black mage-	eng,13
-black60-	ita,6
-blackbird91-	ita,22
-blackhole-2012-	tha,6
-blackknight-	eng,10
-bobby	eng,691
-boris-	deu,67
-boyetier93-	eng,7
-brandirawr	eng,5
-bsv-	rus,11	ukr,22
-buddhist-	eng,50
-byj-	eng,5
-b	eng,654
-cal-	eng,7
-calum-r-	eng,14
-card-	fin,23
-carinchen-	deu,7	eng,5
-carlo.z-	ita,227	eng,2
-carton-	fra,27
-castellano2008-	spa,497
-casualty-	eng,31
-cbones-	deu,15
-centraspike-	eng,9
-cerberus	eng,32
-cerise-	fra,5
-cfh	swe,23
-chippy-	eng,13
-chiyo-mihama-	eng,34
-chris-	eng,5
-christopher-	est,22
-cid	rus,14
-cirrus-	fin,7
-cman-	eng,25
-cmpunk-	tur,682
-colt-	deu,153
-cometa-	ita,107
-crowyan-	fra,11
-cuber-	deu,192	ita,7
-cute-	deu,8
-cx	fra,19
-d-e-r-t-e-s-t-e-r-	deu,38	eng,2
-dam-	spa,1246
-dan-	ita,5
-daniel-	deu,150	eng,13
-dansun-	eng,6
-darkfire-	deu,17
-darkphoenix-	eng,10
-dave-	eng,7
-daxter500-	spa,8
-dead'scream-	deu,51
-decending-december-	eng,7
-delt t	deu,8
-demosthenes-	eng,197
-dennis-	nld,167	eng,63
-dense-	eng,20
-df-	spa,8	ces,1578	nor,3	eng,27
-diane-	deu,5
-dif-1891	swe,52
-discóbolo-	spa,10
-dist-	eng,21
-djd-	eng,147
-djsiniestros	eng,23
-djsinietro	eng,20
-donald-	deu,315	hbs,4
-dono-	eng,8
-doãn hiến-	vie,13
-dragonmaster-	fin,8231
-dreamincolor2	nld,12	eng,10
-drits	eng,6
-drumhead-:	rus,147
-duffy-hi	deu,7
-dun	por,9
-durandal-	eng,19
-dw-	deu,61
-d	deu,9
-dávid19980926-	hun,5
-edwin-	eng,135
-ego-	bul,43	eng,3
-elo-	ita,194
-emanuele-	ita,77	eng,6
-emi-	spa,13
-emiel-pokemon-	nld,21
-emil1990-	deu,6
-eminado-	deu,10
-enzyklop-	deu,1160
-erdal	eng,55
-erick- (usurped)	eng,5
-erick-	spa,10729	eng,55
-erik-	nld,10
-eta-the outsider	eng,5
-eugene-	rus,22
-eve-	deu,21
-evzeppelin-	spa,12
-eyesgreen	rus,15
-eyma-	deu,47
-fabio92-	ita,5
-fan-of-trance-	pol,9
-fangorn-	tur,238
-fawkes-	cat,121
-fcsarrebruck-	deu,20
-feniksguillaume-	nld,5
-fg-	deu,622
-fidito-	spa,6
-finx-	fra,48
-fin	deu,24	eng,56
-fire-	eng,35
-firebird-	deu,42
-flare-	eng,7
-flo-	deu,15
-flo	deu,40
-fool-	eng,6
-frank-	nld,10	eng,254
-fred-	fra,13
-freebird-	eng,37
-freezing moon-	ita,13
-frenzy-	eng,60
-friedrich-	deu,29
-frosty-	eng,72
-garret-	eng,10
-ginkgobiloba-	fra,9	eng,73
-graystripe	nld,6
-grd-	ces,18
-grg-	ita,22
-grom-	fra,36
-grover	eng,22
-gt-zero	deu,6
-h5n1-	deu,50
-hawkeye-	ron,34
-hegar-	deu,6
-hellscream-	swe,5
-hh	eng,129
-hk-snow	eng,5
-human	deu,13
-hyde-	ita,563	eng,4
-ida-	nor,3	eng,33
-idda-	fin,12
-idenisi-	rus,36
-ig0r	eng,9
-ilhador-	por,52	eng,544
-inanna-	eng,1249
-indigo-	deu,6
-ingriiid	spa,29
-interw	deu,32
-iraqieagle-	ara,41
-italo-	ita,9
-j-k-h-	nor,18
-jacquie-	ltz,7
-jake-	eng,18
-jalomax-203-	fra,32
-janus-	eng,7
-janv34-	deu,7
-javier-	spa,48
-javiercielosur-	spa,8
-jb	deu,5
-jeppe-	fin,13
-jeqz!-	fin,32
-jha-	deu,15960	eng,2
-jiřík-	ces,15
-jkbx-	deu,19
-jmac-	eng,344
-johan-	eng,5
-johnny-	eng,7
-jonatinhas-	por,569	eng,46
-jonni h-	deu,10
-jon	eng,5
-jp-	swe,5	eng,985
-js-	pol,293	eng,2370
-juju-x3	deu,25	eng,6
-juniot-	pol,5
-juno-	eng,9
-justin-	deu,7	eng,2
-jän van göth-	spa,5
-k -j - il	eng,6
-k-	eng,19
-k18t-	eng,11
-k19-	ita,5
-kacken-	deu,13
-kajimaru-	por,4	eng,2
-kaktus-	slv,45
-karsten-	deu,34
-kayac-	fra,47	ita,12138	eng,8
-kazaku-	eng,9
-keeleykins-	eng,5
-keith-wigdor-	eng,10
-kemisti-	fin,5
-kerplunk-	eng,359
-khing-	tha,102
-kiesel-	deu,404
-kikyo-	eng,5
-kinsella-90-	eng,8
-kitsune	deu,244
-kjb-	slk,6
-kj	eng,30
-kkm	rus,6	eng,4
-kobilca-	slv,31
-kokid-	nor,19
-kripta-	eng,10
-kris-	nor,152
-krol-	ita,2923
-ktośik-	pol,53
-kuerbis	deu,28
-kukuruzas-	lit,10
-kylej	eng,50
-kyo-	deu,13
-lalo-	spa,16
-lars-	nld,1000
-lawless-is-one	eng,11
-lcarl-	spa,9
-le gaillard chauve-	fra,24
-leinad-	eng,5
-lemmy-	spa,377	eng,4880	deu,4158	cat,523
-ler	deu,634
-liam-	eng,5
-liery-	rus,44
-lightweight-	deu,5
-lilà	por,11
-linc da legend-	eng,6
-lion-	eng,6
-livedeath-	tur,54
-llchaosll-	eng,14
-loarrat-	rus,11
-lolo666-	fra,5
-lord	deu,106	eng,27
-lorena-	ita,9
-losqualo-	ita,5
-lostboy-	eng,107
-lothario-	eng,21
-lrz-	ita,6
-lt.frag-	eng,7
-lukejohnson-	eng,14
-luke	deu,20
-lulu-	eng,51
-lumière	eng,403
-lurifax-	eng,12
-lx-	deu,6
-m-i-k-e-y-	eng,435
-m-	afr,6
-maarten-	nld,56
-mac-	deu,5
-magicgirl	por,26
-maik-	deu,28
-majestic-	fin,5144	deu,8	eng,10947
-makaveli-	nor,36
-mantis-	ita,82
-mar$-	deu,44
-marcela'95pe.	por,19
-marcus-	fin,7	deu,32	eng,6941
-mark-	deu,2681
-martin-	spa,11
-mastermind-	eng,10
-mathias-	swe,6
-mathias	eng,21
-matm-	eng,27
-matteo37-	ita,8	eng,2
-matthäus-	deu,36
-mazda-	ita,6
-me-	eng,70
-mea	fin,7
-memo-	deu,278
-memo44-	tur,408
-merlin	deu,5
-metaxu-	pol,31
-mf-	ita,47
-mib-	ces,10
-michaela-	eng,52
-midorihana-	eng,4917
-mikey07	deu,13
-miksa-	deu,5
-miwi	deu,8
-mj	eng,37
-moment-	ita,7
-morgenstern-	deu,198
-mosez	deu,23
-mph-	ces,7
-mr.bangbasher-	eng,12
-mr.dodge-	fin,51
-mszmp-	hun,10	eng,14
-mushroom	eng,104
-n!xon-	eng,7
-n2o-	fra,5
-nando-	spa,10
-nekel-	eng,64
-nemanjans-	eng,5
-nemo-87	ita,29
-neo.	eng,7
-nepomuk-	deu,44
-nerd-1-2	spa,5
-nerd-	deu,14
-nerdi	deu,10
-ni-ni-s-	eng,47
-nicky-	deu,12
-nicoc	por,18
-nicolas-	fra,10
-nighthawk-	swe,166
-nightwarrior91-	spa,13
-nik3-	ces,55
-nikolo-2	ces,1126
-niobe-	deu,16
-nmd77950	eng,39
-nmd	fra,8113	eng,16
-noname112-	deu,42
-nothingman-	swe,31293	deu,13	nor,3	eng,167
-nyk-	ces,6
-nylih-	fin,16
-o-o-	deu,146
-o-p-	fin,45
-oleg-xxl-	rus,6
-ondri-	eng,2	ces,47	slk,15
-oo-	deu,51	eng,17
-oo0(goldtrader)0oo-	eng,1225
-oopsie-	eng,512
-ost-kure	msa,10
-oush	por,24
-ozone-	eng,278
-p-	eng,20
-pac-	deu,7	eng,5
-pacemak0r-	deu,22
-painkiller-	fin,13
-papinian-	deu,430
-paradox-	eng,10
-pat46-	nld,12
-patrick92-	deu,19
-paul-	ron,287	eng,238
-paul™	nld,7
-pdp-	deu,6
-philipp	deu,16	eng,5
-phoenix-	rus,3088	ukr,24	deu,4	eng,27
-photochopper-	eng,5
-piojoso-	spa,118
-planetarian-	eng,14
-pop-korn-	rus,7
-prabab	pol,71
-proxy-	deu,7
-prpm-	eng,6
-q-	fra,10
-qq?pp-3	kor,5
-qq?pp-	kor,75
-questor-	nld,5
-quincey.v-	eng,13
-r-	heb,34
-rafa-	eng,13
-rain-	eng,6
-raito95-	ita,15
-ramz-	swe,144	eng,258
-ray-	eng,5
-rayer-	spa,5
-reaper-	eng,47
-reikäpallo-	fin,12
-respresent---72	eng,33
-rest- anarko	spa,7
-rf-	deu,732	eng,2
-ril-	eng,10158
-ritaeerie-	fra,12
-robert-	nld,7
-robin37	deu,5
-rob	deu,36
-rocoz-	nld,6
-rodrigues-	fra,633
-ronny-	eng,8
-rontaril-	eng,15
-roope-	fin,16
-ross616-	eng,178
-roxas-	fra,210
-roxas26-	fra,25
-rudi-	deu,9
-rusa	por,12
-sa-	eng,203
-saint-	heb,9	eng,16
-salih-sbs-oks-	tur,5	kur,2
-sampku-	fin,5
-sasa.vac-	ces,9
-saxon-	deu,98
-sche	deu,6	eng,20
-schuetti-	deu,6
-sd-	eng,30
-seb-	spa,1485	nld,9	nor,7
-sebi-	deu,21	eng,2
-selena-gomez-	ron,7
-septimus-	eng,17
-sexbox360	eng,6
-sf-	rus,2	ukr,25
-sgd-fan-	deu,6
-shade-	fin,123
-shaitan-	eng,101
-sheidow-	fra,5
-shill-	eng,5
-sil-	eng,27
-silvynx	deu,2	eng,20
-sinn-	jpn,14
-sinthesis-	eng,8
-skulls-	fin,5
-sky-	ita,14
-slovenec-	slv,308
-smileymiley-	est,28
-snyder-	por,9	eng,10
-son of mrlob-	eng,8
-sonygamer	eng,7
-spectra-mv	jpn,77
-spidersencer-	nld,451	eng,2
-st-	eng,13
-stamps95	eng,277
-starter-	eng,34
-stefan	deu,51
-steve-	deu,7
-stewey-	eng,7
-stk	deu,134
-strawberry-fields-	eng,15
-stunner-	eng,16
-superman-	eng,65
-sweenyy-	eng,7
-swi-	deu,7
-szepiet-	pol,10
-tabib	eng,7
-takt-	rus,14
-tayjeew-	zho,52
-tehz-	eng,10
-teo-	tur,27
-test-aaaa	jpn,29
-tharikifa-	eng,60
-the bold guy-	eng,1291
-the great one-	eng,286
-the mole-	eng,13
-the warden-	ita,68
-the-muffin-man-	eng,86
-the-rocket-147-	eng,972
-thed-	dan,6
-thekasbah-	eng,13
-thomas-	deu,43
-tikay-	deu,74
-tiktak-	pol,19
-timmtim-	nld,6
-tinde-	eng,11
-tk-	deu,50
-tn-	ces,8
-toby-	ces,11
-tom-	deu,78	eng,4
-tommyboy2-	nld,7
-tomo-	jpn,67
-trebor-	nld,12	eng,4
-trickter-.	spa,56
-ts-	eng,40
-tsugaru-	eng,30
-tt-	deu,14
-ttebayo	eng,30
-ttg splice-	eng,5
-turbopanda.123	eng,23
-typh0n 666-	tur,14
-ugly-	fin,17
-vagrant-	eng,18
-vega	hbs,109
-vem-	ces,9
-vesikaivo-	fin,276
-viikate	eng,25
-vl-	eng,16
-vladserg-	rus,40
-vonurb	eng,14
-vovka-	rus,20
-vraneth-	spa,19
-vvv-jeroen-	eng,8
-wa-	eng,28
-walrus1234-	eng,77
-walter453	spa,6
-werewolfy-	spa,2	eng,5	cat,12
-westmount-	fra,21
-wiki-	fin,21
-wikiphile-	eng,5
-williamandresr	spa,15	eng,2
-wintermute-	eng,16
-wolliwolli-	eng,26	por,2	deu,4347
-woot-	eng,5
-wr-	fin,8
-wrathofconn	eng,7
-wsm-	rus,16	ukr,92
-wvu-dohfast	eng,5
-wyst-	deu,10
-x-annie-x-	spa,5
-x-kiarna-x-	eng,6
-x-way-	fin,9	eng,89
-xcamrockx-	eng,9
-xenus-	swe,15
-xerman-	spa,6
-xgossipgirl	eng,7
-xiii-	deu,87
-xjuliax-	deu,20
-xox-goodey-xox-	eng,5
-xwingsx-	eng,82
-yeti-	fra,8
-yunn mello-	spa,5
-zayumi-	deu,11	eng,6
-zeitouny-	eng,6
-zhz-	eng,8
-zvegr-	rus,6
-zymeth-	fil,5
-	slv,24
-Ãrýn-	deu,71
-Ådne-	nor,491
-Ðêåth-™	eng,7
-渺-	zho,14
-まあ-	jpn,22
-蒼神-	jpn,39
-תום-	heb,225
-ДКА-	rus,11
-רביד לשירותך-	heb,9
-Владимир-Лит	rus,9
. . sebastian . .	deu,48
. jamiehughes	eng,22
. magdysalh	ara,13
.*wikiholic*.	eng,5
.*	eng,45
.,rot	eng,6
.-lewza-.	fin,16
.-smrock-.	spa,9
.-tux	deu,14
..-. ..- -.-. -.- ..-	eng,34
... but a war broke out	eng,12
... for estonia (ee)!	eng,19
... to a summersday?	deu,37
...*bad copy*...	hbs,6
...---...sos	msa,160	eng,132
..................	fra,130
..........	jpn,5	eng,2
......	pol,3	jpn,67	eng,2
.....v.....	eng,11
.....	fra,7	jpn,73
....crunk&amp;b....artist....	eng,10
....thomas7.,....	deu,5
....	zho,4	eng,3
...678	eng,8
...adam...	eng,1111
...ale...	ita,5
...and beyond!	eng,151
...and the circus leaves town	eng,9
...angelita...	ita,779
...ce	jpn,6
...ds	kor,16
...et le truand	fra,15
...flex...	eng,6
...gerrit...ku...	deu,15
...gotier...	fra,11
...hank...	cat,8
...kaledoscope...	eng,8
...kanocode...	eng,14
...laine12...	eng,6
...lord zarcon	ita,44
...lov me...	ara,12
...malluco...	por,1720
...qhrguscjf99...	kor,205
...speedtook...	deu,14
...the point is to change it	eng,56
...xupalo wiki qlia:...	spa,8
...zzz...	spa,31
...	pol,7	eng,16	slk,32
..99elena99..	fin,7
..::jaypollock::..	eng,10
..::lonely-girl::..	hun,29
..::shadowing::..	deu,7
..altin Çocuk..	tur,6
..angel.girl..	spa,16
..avril..	deu,8
..bz17	jpn,731
..elena..	spa,24
..gator..king..	eng,7
..james..	eng,5
..l dqb l..	tha,7
..marimc..	spa,2	eng,8
..phenom..	spa,3150
..playa187..	eng,22
..sevii..	eng,72
..t.k.	nor,9
..ttt..	eng,39	kor,5484	jpn,6	cat,2
..zammechat	eng,40
..đĕvĩŧŧa..	nld,12
.0	eng,86
.132.205.256.256	eng,45
.1337.	eng,6
.17kanuru.walker.stu	eng,6
.22addict	eng,5
.45colt	eng,121
.50bmg germany	deu,5
.511 mev	eng,8
.7g.	eng,5
.84.150.203.194	deu,131
.: dh. hassan :.	ara,5
.: fix you :.	ita,35
.:.critical.:.	eng,9
.:.sugnim.:.	eng,10
.:.	eng,33
.::.	eng,15
.::::ramses676:.....41	spa,8
.::alex::.	spa,8
.::arbitrary::.	zho,3	eng,162
.::buildanarmy::.	eng,5
.::coyeller::.	spa,5
.::icy fire lord::.	eng,8
.::jjb::.	eng,63
.:a+0m:.	rus,12
.:adam:.	pol,24
.:alex:.	eng,4274
.:andrea:.	ita,19
.:bÄr	deu,24
.:charmed butterflie:.	eng,29
.:corehack:.	eng,8
.:dan!x:.	spa,8
.:debil:.	eng,78
.:elspeth:.	pol,5
.:evanescence:.67	spa,11
.:evilescense:.	spa,18
.:forever harry potter:.	eng,5
.:frida:.	nor,19
.:glg:.	tur,7
.:habbo-007:.	spa,9
.:happy pills:.	ita,66
.:jenni:.	eng,87
.:juan:.	spa,5
.:k4o$:.	ita,9
.:kenn:.	deu,62
.:lyndsay:.	spa,10
.:mcep:.	spa,15
.:meryl:.	ita,18
.:mmsagent:.	eng,26
.:neo.x.winfreak:.	deu,6
.:nicky:.	eng,59
.:pan wiedźmin:.	pol,26
.:pvillage:.	deu,12
.:rocio:.	spa,6
.:romanticrevenge:.	ita,7
.:ryuk:.	ita,13
.:sde:.	heb,8
.:spino:.	spa,18
.:thisismewheni'mbored:.	eng,6
.:valeentin:.	spa,17
.:wooter:.	slk,5
.:София А:.	rus,36
.^.	eng,8
.absolution.	eng,128
.admiss.	hun,76
.agentia	spa,6
.aidez-moi	fra,8
.aiko	deu,274	ita,9
.al-kimiya	fin,52
.alberto.90™	ita,8
.alcedo.	ita,59
.alchin007	eng,11
.alexus.	rus,12
.allyson.	ita,5
.alternative	eng,19
.alyn.post. (usurped)	eng,8
.alyn.post.	jbo,10	eng,130
.archbishop kelly	eng,6
.auc colombia.	spa,13
.b(heat)m.	eng,9
.bulldog	eng,14
.c h i c k e n	ita,24
.calle.	deu,45
.calvinus.magister.	ita,18
.charles21	spa,5
.cosme.	eng,255
.cruzaperea.2012	eng,15
.cybee	rus,5
.c	eng,6
.d.	deu,7
.d0t	deu,12
.david	eng,6
.de'boss	ara,1138	eng,4
.derf	eng,41
.deshindand	eng,86
.digamma	eng,244
.emuminjis.	jbo,31
.emuzest.	jbo,126
.erax	rus,8
.exe	deu,42
.exotech	deu,339
.facs	eng,24
.fatimuccia1	ita,5
.fla	deu,67
.fry	rus,32
.geesharma	eng,15
.gimeee.	spa,24
.gio	ita,15
.gologorski a	heb,6
.gremlin.alex	eng,23
.gs8	deu,47
.hack linux	jpn,6
.hack ryoske	jpn,19
.hack wiki	jpn,27
.hacker	jpn,14
.hackmaster	eng,20
.hathen	eng,7
.hd	deu,725
.hephaestos.	eng,7
.hnk	jpn,7
.holger	deu,56	eng,6
.hoplite	nld,15
.isika	eng,53
.it	eng,75
.ivan the awesome.	eng,12
.j 1. .1.gm1t	eng,5
.jarbasnetoo	por,21
.jbi	ita,12
.jeff.spectre.	eng,26
.joserra.el.mas.vakitas.	spa,7
.josé	roh,7	spa,32938	fra,4	eng,45
.jsber	eng,11
.jsk.	kom,30
.kin	rus,38
.kit0x	jpn,16	eng,2
.kkursor	rus,168
.k	eng,532
.la 99e endive.	fra,12
.lacika1204.	hun,126
.lauriob.	fin,43
.learned.fool.	eng,15
.lil-boi14::	eng,6
.lil.	eng,303
.lo.	deu,1014
.love.is.war.	sah,3	deu,58	eng,4
.m...	jpn,1099
.mag	deu,15450
.marc.	eng,745	nld,8143
.marfil.	spa,112
.marlin85.	ita,81
.matt	eng,9
.mdk.	eng,7880
