Source	Target	NumTransFromSrc	NumTransToTgt	NumOfTransSrcToTgt
nor	rus	14530	82772	233
bak	tyv	357	164	1
rus	guj	101395	524	118
swa	mol	65	3720	1
dlg	ukr	12	4514	1
bug	fra	1	238463	1
eng	lin	1225237	20	10
san	mal	4282	1202	102
hin	aze	1469	1658	1
kaz	slk	948	19641	3
heb	que	9889	25	1
deu	som	201718	102	7
gld	eng	39	146294	2
rus	jpn	101395	130893	1981
grc	mkw	17342	5	1
fil	jpn	87	130893	8
cat	epo	8328	542	3
grc	cat	17342	18004	208
lbe	eng	41	146294	1
est	fas	5739	11329	1
oji	cre	13	66	1
srd	deu	6	292124	1
kat	ces	1224	64442	24
tat	tur	462	11874	1
hin	ita	1469	59830	10
lav	ron	1288	18464	10
fra	fon	216624	8	7
eng	kbd	1225237	86	1
bod	hbs	1508	45036	9
ukr	ron	2877	18464	41
san	kaz	4282	2454	2
vie	hye	668	2139	1
fin	chm	8296	89	1
mhg	ibd	2	1	1
mkd	rom	1592	82	12
hbs	swe	12743	71688	112
fin	ara	8296	12488	3
glg	arg	1346	64	2
som	deu	26	292124	1
akk	fra	136	238463	20
por	msa	11390	5416	2
hin	eus	1469	3923	1
arc	pol	347	76720	3
abk	hin	171	3506	1
nor	mkd	14530	3901	14
deu	ron	201718	18464	1564
grc	tiy	17342	2	1
zho	hbs	13337	45036	92
fra	bam	216624	9	9
bod	ell	1508	27422	4
lit	ara	1985	12488	10
krl	ukr	23	4514	1
jpn	mkd	26921	3901	15
eng	att	1225237	1	1
pol	lav	14104	8145	63
ota	tur	16	11874	2
grc	wib	17342	15	6
zap	spa	3	228910	2
lav	spa	1288	228910	6
eng	ton	1225237	85	40
ces	mol	17202	3720	17
crh	uzb	28	2757	6
eng	tri	1225237	1	1
heb	kan	9889	700	1
tur	rus	2658	82772	160
dan	pol	21239	76720	303
oge	rus	11	82772	7
deu	hau	201718	53	4
acf	fra	3	238463	2
lit	est	1985	20605	46
kat	spa	1224	228910	6
hin	lav	1469	8145	1
vie	uzb	668	2757	2
kat	uzb	1224	2757	8
glg	pol	1346	76720	2
tha	hin	215	3506	1
eng	scn	1225237	2	2
dyo	fra	1	238463	1
eng	pus	1225237	285	1
pol	isl	14104	6514	8
eng	est	1225237	20605	11751
ara	fil	11884	150	2
fao	nor	104	45923	17
nor	hun	14530	54989	150
eng	chp	1225237	123	108
zho	tiz	13337	145	143
kir	kan	708	700	3
grc	gcf	17342	22	2
amh	spa	58	228910	4
slv	tuk	2463	741	1
tat	ron	462	18464	1
hbs	msa	12743	5416	2
swe	slv	39192	18719	139
deu	tur	201718	11874	1120
ben	mal	2223	1202	92
heb	spa	9889	228910	719
san	slv	4282	18719	5
kat	dar	1224	68	1
che	kaz	80	2454	4
fra	tmh	216624	1	1
eus	ell	1021	27422	3
fra	sxw	216624	1	1
lat	msa	19240	5416	4
zho	sjo	13337	1	1
fil	sjm	87	10	1
fra	zna	216624	3	3
spa	dnk	52955	1	1
mri	eng	88	146294	50
enm	fra	231	238463	13
vie	oss	668	153	1
que	fra	37	238463	7
uga	swe	6	71688	1
slv	tgk	2463	1062	1
hin	fin	1469	46271	5
ara	mar	11884	878	2
tur	ben	2658	1878	1
zho	ces	13337	64442	111
chy	spa	10	228910	1
slk	ast	4205	193	1
ben	est	2223	20605	6
dan	eus	21239	3923	17
bul	kat	3667	2176	18
hin	slk	1469	19641	1
gmh	pol	595	76720	4
deu	zho	201718	62650	3952
wlm	deu	5	292124	1
ell	ron	4862	18464	174
deu	aym	201718	6	2
gld	pol	39	76720	1
ron	spa	5475	228910	206
aze	kum	774	65	1
kbd	uzb	119	2757	1
bak	kaa	357	568	1
grc	gba	17342	14	7
hin	mai	1469	7	2
arc	nor	347	45923	1
hye	abk	1100	115	1
tam	pol	496	76720	1
tuk	aze	434	1658	13
tur	ita	2658	59830	37
ukr	zho	2877	62650	3
krc	est	141	20605	2
por	fas	11390	11329	43
hbs	lat	12743	362	4
slk	rus	4205	82772	276
grc	eus	17342	3923	33
heb	dsh	9889	3	2
bre	fra	212	238463	149
nld	pan	18978	384	2
ces	slv	17202	18719	133
smo	fao	74	415	1
heb	nfr	9889	10	1
heb	afr	9889	776	6
grc	mol	17342	3720	46
lit	nep	1985	140	1
nld	cym	18978	2312	1
vie	zho	668	62650	6
fas	rus	2837	82772	211
kok	eng	4	146294	1
urd	deu	950	292124	21
sqi	eus	1424	3923	2
est	uzb	5739	2757	5
tel	urd	277	1005	3
ats	spa	1	228910	1
grc	djk	17342	8	2
arp	spa	3	228910	1
rus	wbl	101395	1	1
syr	ron	252	18464	5
por	tir	11390	74	1
hun	deu	11256	292124	2793
cop	ita	177	59830	1
mol	mkd	2864	3901	2
lat	mar	19240	878	1
ncu	eng	2	146294	2
fas	nor	2837	45923	18
sin	tam	52	1763	8
eng	kor	1225237	22338	17110
ita	msa	66453	5416	13
pol	kor	14104	22338	24
grc	pdt	17342	16	3
eng	sme	1225237	173	11
grc	slv	17342	18719	112
ita	kir	66453	1528	3
pan	tel	327	668	2
lav	deu	1288	292124	112
grc	oci	17342	204	3
vie	ukr	668	4514	9
heb	mif	9889	26	3
rus	sna	101395	16	3
yid	sqi	1590	6757	4
ara	hye	11884	2139	5
tbz	fra	1	238463	1
hbs	bre	12743	406	1
zho	urd	13337	1005	5
rus	kan	101395	700	152
grc	kqy	17342	6	4
hye	urd	1100	1005	3
mar	mal	405	1202	12
nld	jpn	18978	130893	428
grc	spa	17342	228910	2502
grc	bst	17342	1	1
afr	ara	357	12488	1
cre	spa	117	228910	1
spa	bre	52955	406	8
enm	swe	231	71688	4
ara	dyu	11884	6	1
san	spa	4282	228910	159
abk	lav	171	8145	1
cos	fra	50	238463	44
deu	kin	201718	4	4
ava	aze	186	1658	1
oji	eng	13	146294	9
syr	fra	252	238463	47
spa	shp	52955	1	1
swe	arc	39192	3	1
mkd	eng	1592	146294	242
kan	ori	314	752	2
lat	epo	19240	542	3
fas	nld	2837	111371	61
uzb	spa	872	228910	2
swa	nld	65	111371	1
deu	gcf	201718	22	1
jpn	hun	26921	54989	129
fra	nya	216624	18	2
urd	mol	950	3720	1
uzb	tat	872	819	2
krl	aze	23	1658	1
heb	tbl	9889	11	1
grc	krc	17342	103	2
nld	zho	18978	62650	97
heb	kek	9889	5	2
rus	epo	101395	542	37
vie	pol	668	76720	6
mon	mkd	244	3901	1
eng	syr	1225237	11	2
bre	rus	212	82772	3
kaz	est	948	20605	14
ben	ell	2223	27422	2
kas	pan	24	384	2
oci	deu	452	292124	7
tmh	ara	27	12488	1
gmh	dan	595	64799	4
eng	mnf	1225237	18	16
pus	urd	60	1005	4
fra	eng	216624	146294	28314
kaz	lit	948	15447	5
ava	pol	186	76720	1
pol	por	14104	74721	65
kaz	tuk	948	741	8
rom	pol	79	76720	1
ava	urd	186	1005	1
fra	dan	216624	64799	3583
grc	asm	17342	526	2
jpn	nor	26921	45923	260
ang	kat	147	2176	1
tha	heb	215	10961	1
san	hbs	4282	45036	53
grc	rwo	17342	1	1
ara	sun	11884	1	1
bra	fra	11	238463	1
grc	atd	17342	4	2
kir	kas	708	10	1
tuk	kan	434	700	1
hin	kaz	1469	2454	1
egy	fin	235	46271	3
gle	slk	269	19641	1
eng	bav	1225237	6	2
tuk	vie	434	786	2
ukr	ita	2877	59830	4
lat	rom	19240	82	1
grc	maw	17342	7	5
heb	cko	9889	3	1
san	eus	4282	3923	2
tgk	nog	476	33	1
man	fra	15	238463	7
tam	rus	496	82772	7
ang	nld	147	111371	1
tkl	ton	69	85	10
spa	zho	52955	62650	413
cym	spa	621	228910	2
kbp	fra	1	238463	1
fra	man	216624	2	2
fra	abk	216624	115	1
fri	nld	119	111371	102
ben	zho	2223	62650	59
deu	rom	201718	82	1
mar	nld	405	111371	1
ukr	fin	2877	46271	9
deu	ast	201718	193	3
swe	sin	39192	671	4
mol	jpn	2864	130893	2
fra	gud	216624	2	2
abk	eng	171	146294	2
ita	ukr	66453	4514	38
tat	mon	462	2423	1
egy	ces	235	64442	10
spa	prq	52955	2	2
bod	deu	1508	292124	250
ori	eng	244	146294	69
akk	jpn	136	130893	1
fra	mcu	216624	12	8
gmh	glg	595	2371	1
rus	vie	101395	786	538
deu	hat	201718	7	1
dan	spa	21239	228910	1174
nld	ron	18978	18464	43
enf	swe	11	71688	1
pus	nor	60	45923	1
fra	swg	216624	21	2
ron	tuk	5475	741	1
fin	zho	8296	62650	39
grc	mlt	17342	86	2
cat	eus	8328	3923	313
nld	lim	18978	1	1
bul	hun	3667	54989	96
swe	tam	39192	1763	1
eng	sco	1225237	32	11
por	fra	11390	238463	1579
fas	tur	2837	11874	173
slk	mkd	4205	3901	23
eng	asm	1225237	526	187
san	lav	4282	8145	5
chc	eng	1	146294	1
lit	kan	1985	700	1
tur	fra	2658	238463	227
fra	ron	216624	18464	4240
grc	mnf	17342	18	2
fra	gnd	216624	7	2
non	est	299	20605	1
gle	gla	269	227	4
est	lao	5739	232	1
kaz	pus	948	285	2
epo	slv	99	18719	1
ara	urd	11884	1005	237
ori	guj	244	524	4
kat	lbe	1224	65	1
fro	lit	902	15447	6
eng	kne	1225237	22	11
cym	est	621	20605	1
heb	arc	9889	3	1
mdf	ukr	101	4514	2
eng	niu	1225237	67	21
ces	fra	17202	238463	883
bre	nld	212	111371	3
kat	fin	1224	46271	6
fra	cme	216624	24	16
heb	cym	9889	2312	4
san	asm	4282	526	38
swe	hye	39192	2139	5
uzb	tgk	872	1062	19
spa	uig	52955	1488	4
tuk	uzb	434	2757	7
ara	snd	11884	15	7
hbs	hun	12743	54989	779
fra	dos	216624	11	11
grc	tir	17342	74	1
por	deu	11390	292124	1318
abk	fin	171	46271	1
abk	bul	171	25742	1
tah	fra	10	238463	9
mal	ori	306	752	5
grc	oss	17342	153	1
deu	kan	201718	700	16
fin	hun	8296	54989	167
jpn	slk	26921	19641	21
bod	cat	1508	18004	4
iku	isl	108	6514	2
zul	deu	19	292124	6
bak	mkd	357	3901	1
egy	cat	235	18004	1
tcb	eng	1	146294	1
cop	ces	177	64442	6
tsc	por	1	74721	1
eng	grc	1225237	22	1
rus	nep	101395	140	91
ben	ron	2223	18464	6
eng	mbt	1225237	2	2
gmh	fin	595	46271	2
tur	mol	2658	3720	2
heb	xnn	9889	1	1
alt	ukr	56	4514	3
mon	kaz	244	2454	7
ukr	kan	2877	700	1
dan	eve	21239	15	1
eng	ify	1225237	1	1
eng	fas	1225237	11329	7987
urd	kok	950	2	1
jpn	eng	26921	146294	3476
tir	som	1	102	1
nav	eng	14	146294	8
sux	aze	133	1658	1
gle	sqi	269	6757	1
doi	hin	10	3506	3
mar	sin	405	671	1
pag	eng	2	146294	1
fra	aji	216624	1	1
sux	pol	133	76720	2
fin	tur	8296	11874	6
san	pol	4282	76720	27
non	kat	299	2176	1
kfy	eng	1	146294	1
bak	tgk	357	1062	1
pol	zho	14104	62650	76
gla	swe	78	71688	2
san	tel	4282	668	85
bul	heb	3667	10961	1
grc	bul	17342	25742	139
bod	fas	1508	11329	1
gcf	eng	84	146294	14
rus	deu	101395	292124	10794
fro	ara	902	12488	1
chv	sah	203	201	2
gla	deu	78	292124	13
grc	kmh	17342	1	1
tur	aze	2658	1658	24
oss	tgk	195	1062	1
tha	pol	215	76720	1
kpy	eng	6	146294	1
grc	moz	17342	17	1
swe	lat	39192	362	1
swa	zho	65	62650	1
fri	sco	119	32	1
slv	hbs	2463	45036	706
heb	bss	9889	5	1
myv	eng	70	146294	2
bho	rcf	2	16	1
eng	smj	1225237	42	5
zho	kac	13337	66	64
syr	fin	252	46271	10
kir	dng	708	8	2
zul	jpn	19	130893	2
fas	kan	2837	700	1
ron	slk	5475	19641	41
tuk	hin	434	3506	3
aze	tgk	774	1062	7
slv	bel	2463	1874	7
eng	lat	1225237	362	56
chy	eng	10	146294	3
bul	kir	3667	1528	6
non	bul	299	25742	1
arg	cat	5	18004	2
mol	ell	2864	27422	1
spa	sin	52955	671	4
ukr	swe	2877	71688	5
enm	slk	231	19641	1
orv	aze	173	1658	1
kor	nld	4621	111371	10
nor	ara	14530	12488	28
hin	jpn	1469	130893	32
mar	tam	405	1763	13
gmh	hbs	595	45036	5
grc	fil	17342	150	3
mri	epo	88	542	1
kat	bel	1224	1874	9
heb	xsm	9889	37	4
dak	deu	25	292124	8
cat	slk	8328	19641	4
dan	rus	21239	82772	530
heb	bkm	9889	19	1
swe	msa	39192	5416	9
fas	mon	2837	2423	3
est	lit	5739	15447	66
fra	sms	216624	2	1
mal	jpn	306	130893	8
msa	ita	485	59830	2
urd	ita	950	59830	2
bul	kor	3667	22338	3
xho	eng	2	146294	2
eng	ntj	1225237	3	3
pli	spa	400	228910	13
kaz	sah	948	201	5
bod	rus	1508	82772	41
ita	aze	66453	1658	6
fra	ddn	216624	1	1
ben	uzb	2223	2757	6
gld	pan	39	384	1
isl	lav	1518	8145	2
kok	hin	4	3506	1
jpn	ukr	26921	4514	13
spa	pib	52955	1	1
mau	deu	6	292124	2
lua	fra	2	238463	1
grc	bkm	17342	19	10
eng	dgr	1225237	4	4
way	zho	2	62650	1
aze	urd	774	1005	2
ota	deu	16	292124	1
asm	mar	95	878	2
guj	nld	264	111371	1
fra	mde	216624	6	6
eng	kat	1225237	2176	166
egy	slk	235	19641	2
fra	kri	216624	1	1
ava	deu	186	292124	1
hin	bra	1469	2	2
lit	jpn	1985	130893	6
swe	eus	39192	3923	29
spa	its	52955	1	1
ell	jpn	4862	130893	28
cat	nor	8328	45923	8
por	spa	11390	228910	2686
spa	tam	52955	1763	4
jpn	nep	26921	140	20
rus	tur	101395	11874	677
mkd	rus	1592	82772	26
grc	tat	17342	819	1
ukr	epo	2877	542	1
eng	ven	1225237	5	4
kaz	eng	948	146294	8
grc	wln	17342	29	4
spa	inh	52955	54	1
kir	kum	708	65	1
grc	frm	17342	16	1
eng	tir	1225237	74	30
lat	ron	19240	18464	162
spa	gsw	52955	116	1
jpn	ben	26921	1878	9
irk	rus	1	82772	1
gle	ita	269	59830	5
tat	ara	462	12488	2
pus	ukr	60	4514	2
rus	inh	101395	54	51
zho	tha	13337	1227	4
cro	spa	3	228910	1
ara	uzb	11884	2757	34
pdt	deu	6	292124	3
ess	eng	1	146294	1
spa	wol	52955	16	2
mol	ces	2864	64442	6
isl	est	1518	20605	17
fas	pol	2837	76720	25
pdc	eng	2	146294	2
eng	yor	1225237	28	10
lez	aze	34	1658	1
eng	ilo	1225237	1	1
hye	hbs	1100	45036	9
fra	mol	216624	3720	281
rus	kur	101395	201	8
fas	snd	2837	15	1
nld	bod	18978	344	1
smj	est	8	20605	1
fil	fin	87	46271	1
pol	bel	14104	1874	130
bod	por	1508	74721	6
nor	aze	14530	1658	3
pol	lat	14104	362	4
yid	pol	1590	76720	119
eus	lat	1021	362	1
ara	ita	11884	59830	168
grc	kbd	17342	86	2
hit	eng	8	146294	6
yid	heb	1590	10961	110
ara	kir	11884	1528	4
kor	fas	4621	11329	3
inh	rus	51	82772	45
ukr	tam	2877	1763	4
mlg	rus	32	82772	2
afr	nor	357	45923	11
bak	uzb	357	2757	2
isl	iku	1518	304	3
chu	eng	80	146294	11
mya	jpn	60	130893	27
mon	slk	244	19641	3
hin	ben	1469	1878	75
bre	gle	212	167	2
grc	tzm	17342	11	1
krl	rus	23	82772	17
ara	fin	11884	46271	57
ibo	eng	9	146294	5
pus	lav	60	8145	1
nld	tha	18978	1227	4
hbs	glg	12743	2371	2
fas	sco	2837	32	4
uzb	kaz	872	2454	18
rus	yid	101395	89	6
nor	cat	14530	18004	55
tha	nld	215	111371	1
jpn	guj	26921	524	1
nld	pol	18978	76720	285
jpn	isl	26921	6514	7
grc	roh	17342	284	2
akk	nor	136	45923	2
tur	hun	2658	54989	48
hye	bre	1100	406	1
fas	ara	2837	12488	168
dan	sme	21239	173	4
uzb	bak	872	502	1
fra	lav	216624	8145	417
heb	glg	9889	2371	3
tuk	hye	434	2139	1
gle	jpn	269	130893	1
ell	swe	4862	71688	66
grc	nnh	17342	15	3
spa	heb	52955	10961	182
grc	rup	17342	9	1
fra	pol	216624	76720	6440
grc	nor	17342	45923	80
ukr	mol	2877	3720	99
eng	mmy	1225237	2	1
gld	por	39	74721	1
gml	deu	2	292124	1
tlh	eng	2	146294	2
rus	fas	101395	11329	741
heb	gng	9889	17	1
fro	ita	902	59830	33
som	swe	26	71688	3
osp	ces	29	64442	1
ita	mar	66453	878	2
ceb	eng	3	146294	2
sco	ces	29	64442	3
naz	spa	1	228910	1
kjq	spa	1	228910	1
ces	heb	17202	10961	40
akk	fas	136	11329	5
sot	fra	9	238463	3
bev	fra	1	238463	1
por	kat	11390	2176	3
fro	bul	902	25742	9
sme	tam	103	1763	1
fra	kyq	216624	6	3
fas	kor	2837	22338	4
pap	nld	6	111371	5
nld	ces	18978	64442	389
slv	por	2463	74721	2
nor	fin	14530	46271	799
ukr	sqi	2877	6757	2
por	tha	11390	1227	3
orv	bel	173	1874	3
abk	kaz	171	2454	1
zho	deu	13337	292124	1159
yid	fra	1590	238463	146
eng	pjt	1225237	10	6
rus	roh	101395	284	1
hbs	tur	12743	11874	66
eng	oji	1225237	25	7
nld	ara	18978	12488	23
pro	cat	159	18004	8
tat	slk	462	19641	2
hop	spa	20	228910	1
heb	sid	9889	3	1
grc	gad	17342	2	1
hun	eng	11256	146294	3182
jpn	aze	26921	1658	2
dan	tzb	21239	2	2
swe	iku	39192	304	18
grc	tha	17342	1227	2
urd	jpn	950	130893	17
hat	eng	22	146294	11
grc	vag	17342	5	1
pol	glg	14104	2371	1
pan	msa	327	5416	2
heb	acd	9889	6	1
egy	ara	235	12488	6
nor	hbs	14530	45036	178
fra	arc	216624	3	1
uzb	urd	872	1005	10
afr	slv	357	18719	1
kur	fas	137	11329	8
mar	ara	405	12488	1
eng	urd	1225237	1005	328
heb	suq	9889	7	1
deu	lit	201718	15447	2140
eng	wti	1225237	2	2
djk	eng	26	146294	1
rif	nld	1	111371	1
sah	tgk	153	1062	1
kam	eng	3	146294	3
spa	msa	52955	5416	16
por	bul	11390	25742	114
spa	cak	52955	1	1
spa	kan	52955	700	2
afr	mal	357	1202	1
raj	deu	26	292124	1
chv	est	203	20605	1
tel	eng	277	146294	73
chp	cre	25	66	7
bak	slk	357	19641	4
tuk	swe	434	71688	3
ita	uzb	66453	2757	7
fra	ife	216624	45	11
ben	dan	2223	64799	1
heb	cos	9889	50	1
ukr	hin	2877	3506	3
ady	kbd	75	86	1
fra	jpn	216624	130893	9893
nem	fra	4	238463	4
cop	spa	177	228910	6
guj	ori	264	752	9
mal	spa	306	228910	1
fin	tgk	8296	1062	1
heb	bre	9889	406	5
eng	efi	1225237	2	1
bra	deu	11	292124	3
rus	msa	101395	5416	24
cop	rus	177	82772	1
rus	sqi	101395	6757	329
ben	ara	2223	12488	4
ave	spa	17	228910	2
lit	slk	1985	19641	26
heb	lns	9889	15	4
prg	deu	2	292124	1
gld	lao	39	232	1
spa	ori	52955	752	2
tam	ara	496	12488	1
eng	sgb	1225237	2	2
lez	ava	34	64	1
heb	ita	9889	59830	257
mol	spa	2864	228910	21
vie	por	668	74721	2
swe	kaz	39192	2454	3
vie	jpn	668	130893	40
dan	kal	21239	327	232
yor	fra	21	238463	3
enm	mal	231	1202	1
eng	ssw	1225237	16	16
tel	ces	277	64442	1
grc	mdf	17342	34	1
uig	uzb	81	2757	6
hye	fas	1100	11329	6
swg	tur	2	11874	1
mns	fra	20	238463	1
msa	dan	485	64799	1
swe	smn	39192	15	5
urd	dan	950	64799	8
dan	hbs	21239	45036	226
cop	nld	177	111371	11
heb	cat	9889	18004	48
san	kor	4282	22338	3
ben	fra	2223	238463	115
bod	eng	1508	146294	426
ces	gle	17202	167	2
bod	dan	1508	64799	28
grc	aso	17342	1	1
jpn	new	26921	25	14
spa	cul	52955	1	1
epo	bul	99	25742	1
san	bod	4282	344	14
zho	pol	13337	76720	66
ukr	oss	2877	153	2
grc	yle	17342	1	1
deu	por	201718	74721	4497
est	mar	5739	878	2
fas	dar	2837	68	1
xal	mol	153	3720	1
zho	heb	13337	10961	13
mlg	spa	32	228910	1
lat	slk	19240	19641	186
pol	est	14104	20605	108
uzb	kaa	872	568	53
moe	fas	2	11329	1
rus	krc	101395	103	89
hbs	ava	12743	64	1
grc	cor	17342	8	2
nld	dan	18978	64799	810
yrk	lav	41	8145	1
kho	eng	2	146294	1
grc	opm	17342	1	1
tha	ita	215	59830	1
fao	nld	104	111371	1
mal	asm	306	526	2
swa	bul	65	25742	1
tuk	deu	434	292124	13
mnc	eng	9	146294	2
tam	urd	496	1005	2
mkd	ron	1592	18464	24
fra	mal	216624	1202	34
isl	hye	1518	2139	2
isl	hun	1518	54989	11
zho	ukr	13337	4514	11
tur	ces	2658	64442	6
ork	fra	1	238463	1
kir	ori	708	752	3
ces	mon	17202	2423	2
kca	fra	21	238463	1
sux	nld	133	111371	5
kat	eng	1224	146294	55
zho	mnc	13337	2	1
arn	cat	9	18004	1
lit	dan	1985	64799	7
snl	eng	1	146294	1
nrn	eng	2	146294	2
grc	lmp	17342	8	3
nld	est	18978	20605	78
fra	bum	216624	2	2
ori	deu	244	292124	4
tat	mol	462	3720	4
kaz	mol	948	3720	9
mon	tgk	244	1062	4
lbe	mol	41	3720	1
sqi	heb	1424	10961	4
iku	dan	108	64799	35
nld	mal	18978	1202	2
ssw	eng	2	146294	2
fra	deu	216624	292124	32328
ell	sco	4862	32	2
nld	som	18978	102	2
kat	rus	1224	82772	666
amh	fra	58	238463	7
kwk	eng	2	146294	2
aym	eng	7	146294	2
ben	ori	2223	752	195
fra	swe	216624	71688	3502
slk	fas	4205	11329	1
eus	cat	1021	18004	117
uig	zho	81	62650	15
roh	ron	90	18464	3
mon	hun	244	54989	13
ell	heb	4862	10961	10
guj	pol	264	76720	1
sah	eng	153	146294	1
nld	deu	18978	292124	6238
heb	fil	9889	150	2
dak	fra	25	238463	1
san	lat	4282	362	2
lat	kan	19240	700	1
bod	ron	1508	18464	8
nci	eng	63	146294	28
slk	tgk	4205	1062	2
eng	fon	1225237	8	1
orv	hbs	173	45036	3
eng	bcj	1225237	1	1
frm	swe	267	71688	3
kor	ara	4621	12488	3
osp	nor	29	45923	1
grc	apn	17342	1	1
egy	nor	235	45923	1
pli	fin	400	46271	4
lit	urd	1985	1005	1
aht	eng	1	146294	1
pli	hbs	400	45036	5
nor	iku	14530	304	4
zho	wbm	13337	28	27
fao	kal	104	327	1
heb	dbq	9889	19	2
ita	sco	66453	32	1
heb	ara	9889	12488	43
sel	rus	1	82772	1
grc	djr	17342	1	1
lad	hbs	32	45036	2
ell	por	4862	74721	21
iba	eng	1	146294	1
aze	tur	774	11874	23
pan	guj	327	524	3
nld	hin	18978	3506	4
guj	ben	264	1878	5
fas	bak	2837	502	1
nap	ita	11	59830	1
ara	hin	11884	3506	10
tgk	eng	476	146294	4
mol	pol	2864	76720	1
eng	mym	1225237	8	7
grc	rus	17342	82772	585
mol	fin	2864	46271	2
rus	bel	101395	1874	1213
zho	lin	13337	20	1
kir	pan	708	384	2
tet	eng	3	146294	2
fas	swe	2837	71688	87
tgk	kat	476	2176	3
tuk	bel	434	1874	9
eng	bvr	1225237	3	1
hbs	fra	12743	238463	978
fas	kat	2837	2176	15
ita	sqi	66453	6757	528
aze	hun	774	54989	6
syr	cat	252	18004	4
fas	deu	2837	292124	331
mar	rus	405	82772	2
ntj	eng	3	146294	3
bel	oss	1409	153	4
sqi	ara	1424	12488	6
orv	tuk	173	741	2
epo	est	99	20605	3
slv	ces	2463	64442	95
tam	guj	496	524	12
spa	arn	52955	1	1
csb	bel	4	1874	1
smj	nor	8	45923	4
lat	ang	19240	8	4
wya	eng	4	146294	4
ron	epo	5475	542	3
eng	slk	1225237	19641	6586
mkd	uzb	1592	2757	2
tha	kor	215	22338	1
grc	uvl	17342	1	1
lao	spa	41	228910	3
eng	mic	1225237	1	1
vep	fin	4	46271	1
spa	grn	52955	2	1
lhu	jpn	2	130893	2
snd	urd	47	1005	5
urd	asm	950	526	6
afr	ndo	357	4	1
san	jpn	4282	130893	59
mal	dan	306	64799	1
gcr	fra	17	238463	16
kir	sin	708	671	2
hbs	hye	12743	2139	5
nor	asm	14530	526	1
deu	ltz	201718	36	2
fra	fas	216624	11329	700
eng	cor	1225237	8	5
arc	swe	347	71688	6
cop	nor	177	45923	2
heb	sig	9889	3	1
pli	nld	400	111371	17
fra	zho	216624	62650	3986
hin	mol	1469	3720	2
rus	swe	101395	71688	946
heb	sor	9889	14	1
fil	ukr	87	4514	1
swe	lav	39192	8145	155
tur	tuk	2658	741	3
mal	eng	306	146294	104
tgk	deu	476	292124	4
kln	eng	1	146294	1
cop	ara	177	12488	1
ang	hbs	147	45036	2
ben	rus	2223	82772	24
jpn	dan	26921	64799	560
tur	tat	2658	819	3
hbs	kaz	12743	2454	4
kea	fra	3	238463	3
ben	afr	2223	776	1
orv	kaz	173	2454	1
grc	slk	17342	19641	87
cym	slk	621	19641	2
slk	ita	4205	59830	15
alt	eng	56	146294	1
ava	hye	186	2139	1
jpn	fas	26921	11329	31
crs	fra	5	238463	2
grc	pad	17342	1	1
tgk	aze	476	1658	5
goh	eng	20	146294	3
swe	rus	39192	82772	586
mol	mon	2864	2423	1
grc	bhy	17342	3	3
deu	pdt	201718	16	1
eng	lav	1225237	8145	3861
osp	bul	29	25742	1
cop	hun	177	54989	3
grc	ast	17342	193	3
cat	hbs	8328	45036	9
san	rus	4282	82772	139
dum	ita	84	59830	3
fro	ces	902	64442	4
ava	kum	186	65	3
mri	smo	88	141	8
grc	fin	17342	46271	273
tur	swe	2658	71688	64
kir	hbs	708	45036	2
ngk	eng	1	146294	1
swe	tur	39192	11874	65
jai	eng	3	146294	2
fra	tet	216624	3	1
gmh	ita	595	59830	10
deu	tir	201718	74	2
grc	log	17342	3	3
hun	sqi	11256	6757	17
grc	ivb	17342	2	1
msa	swe	485	71688	2
fra	bdm	216624	3	3
slv	sqi	2463	6757	17
zho	iii	13337	18	18
grc	zir	17342	1	1
eng	hye	1225237	2139	114
fra	rus	216624	82772	7913
fin	sme	8296	173	22
rom	mol	79	3720	1
pus	dan	60	64799	1
tgk	ara	476	12488	8
tha	por	215	74721	3
heb	rug	9889	7	6
oci	ces	452	64442	1
ara	hau	11884	53	1
eus	fin	1021	46271	6
zho	eus	13337	3923	3
nog	rus	28	82772	18
tmh	fra	27	238463	21
san	msa	4282	5416	7
sah	kaa	153	568	1
non	ron	299	18464	2
heb	vag	9889	5	2
tur	slv	2658	18719	13
asm	guj	95	524	1
nld	mkd	18978	3901	8
fra	dzg	216624	15	10
tur	lav	2658	8145	3
bre	eng	212	146294	14
ckt	eve	33	15	1
grc	uma	17342	1	1
rus	cym	101395	2312	1
kan	deu	314	292124	1
epo	fra	99	238463	5
hin	ara	1469	12488	5
grc	cme	17342	24	4
snd	swe	47	71688	1
tzm	eng	49	146294	1
lat	tur	19240	11874	22
mon	tyv	244	164	2
akk	dan	136	64799	4
swe	fra	39192	238463	1336
lns	eng	5	146294	5
ava	eng	186	146294	1
kor	nor	4621	45923	5
tat	fra	462	238463	1
ces	lit	17202	15447	91
grc	chv	17342	174	2
deu	hye	201718	2139	57
heb	kmb	9889	2	1
fin	cat	8296	18004	9
ben	msa	2223	5416	6
rus	zho	101395	62650	2665
slv	swe	2463	71688	10
kat	bul	1224	25742	15
unp	eng	3	146294	3
eng	tuk	1225237	741	17
grc	ati	17342	1	1
slk	fin	4205	46271	15
vie	ron	668	18464	6
orv	pol	173	76720	2
msa	eng	485	146294	192
san	fas	4282	11329	10
jpn	bel	26921	1874	2
grc	cos	17342	50	2
grc	mar	17342	878	2
cop	pol	177	76720	5
osp	ron	29	18464	1
kal	deu	86	292124	1
